Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"rightClick(findTestObject(""Object Repository/Verificar/input_Demo account_form-contro""))",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:58,"0,114s",PASSED
"rightClick(findTestObject(""Object Repository/Verificar/input_Username_username""))",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:58,"0,093s",PASSED
"setText(findTestObject(""Object Repository/Verificar/input_Username_username""), ""John Doe"")",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:58,"0,195s",PASSED
"rightClick(findTestObject(""Object Repository/Verificar/input_Demo account_form-contro_1""))",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:58,"0,122s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Verificar/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:58,"0,248s",PASSED
"click(findTestObject(""Object Repository/Verificar/button_Login""))",Chrome 71.0.3578.98,,2018-12-18 20:17:58,2018-12-18 20:17:59,"0,485s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Verificar/select_Tokyo CURA Healthcare C""), ""Seoul CURA Healthcare Center"", true)",Chrome 71.0.3578.98,,2018-12-18 20:17:59,2018-12-18 20:17:59,"0,235s",PASSED
"click(findTestObject(""Object Repository/Verificar/input_Apply for hospital readm""))",Chrome 71.0.3578.98,,2018-12-18 20:17:59,2018-12-18 20:17:59,"0,164s",PASSED
"click(findTestObject(""Object Repository/Verificar/input_Medicaid_programs""))",Chrome 71.0.3578.98,,2018-12-18 20:17:59,2018-12-18 20:17:59,"0,117s",PASSED
"click(findTestObject(""Object Repository/Verificar/span_Visit Date (Required)_gly""))",Chrome 71.0.3578.98,,2018-12-18 20:17:59,2018-12-18 20:18:00,"0,129s",PASSED
"click(findTestObject(""Object Repository/Verificar/td_17""))",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:00,"0,104s",PASSED
"setText(findTestObject(""Object Repository/Verificar/textarea_Comment_comment""), ""Consulta"")",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:00,"0,140s",PASSED
"click(findTestObject(""Object Repository/Verificar/button_Book Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:00,"0,370s",PASSED
"check(findTestObject(""Object Repository/Verificar/div_Appointment Confirmation""))",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:00,"0,141s",PASSED
"click(findTestObject(""Object Repository/Verificar/i_CURA Healthcare_fa fa-bars""))",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:00,"0,085s",PASSED
"click(findTestObject(""Object Repository/Verificar/a_History""))",Chrome 71.0.3578.98,,2018-12-18 20:18:00,2018-12-18 20:18:01,"0,313s",PASSED
"check(findTestObject(""Object Repository/Verificar/div_17122018""))",Chrome 71.0.3578.98,,2018-12-18 20:18:01,2018-12-18 20:18:01,"0,151s",PASSED
"click(findTestObject(""Object Repository/Verificar/a_Go to Homepage""))",Chrome 71.0.3578.98,,2018-12-18 20:18:01,2018-12-18 20:18:01,"0,332s",PASSED
